claim,population,n,median,p25,p75,mean,min,max,players,intl,overall_pct,median_program_pct,pct_programs_over_30
Men's soccer Goalkeeper per roster,"D1, 2025-26",204,3.0,3.0,4.0,3.5,1,8,,,,,
Men's soccer Defender per roster,"D1, 2025-26",204,9.0,8.0,10.0,8.9,3,17,,,,,
Men's soccer Midfielder per roster,"D1, 2025-26",204,10.0,8.0,12.0,10.1,3,18,,,,,
Men's soccer Forward per roster,"D1, 2025-26",204,6.0,5.0,8.0,6.6,2,17,,,,,
Men's soccer Goalkeeper per roster,"D2, 2025-26",181,4,3.0,4.0,3.9,2,8,,,,,
Men's soccer Defender per roster,"D2, 2025-26",181,10,9.0,12.0,11.0,5,28,,,,,
Men's soccer Midfielder per roster,"D2, 2025-26",181,12,9.0,14.0,12.1,3,29,,,,,
Men's soccer Forward per roster,"D2, 2025-26",181,8,6.0,10.0,8.0,1,19,,,,,
Men's soccer Goalkeeper per roster,"D3, 2025-26",376,3.0,3.0,4.0,3.4,1,7,,,,,
Men's soccer Defender per roster,"D3, 2025-26",376,10.0,8.0,12.0,10.0,2,22,,,,,
Men's soccer Midfielder per roster,"D3, 2025-26",376,11.0,9.0,13.0,11.1,3,23,,,,,
Men's soccer Forward per roster,"D3, 2025-26",376,7.0,5.0,9.0,7.1,1,15,,,,,
Men's soccer Goalkeeper per roster,"NAIA, 2025-26",139,4,3.0,4.0,3.8,2,10,,,,,
Men's soccer Defender per roster,"NAIA, 2025-26",139,11,8.0,14.0,11.1,4,25,,,,,
Men's soccer Midfielder per roster,"NAIA, 2025-26",139,12,10.0,15.0,12.4,3,24,,,,,
Men's soccer Forward per roster,"NAIA, 2025-26",139,8,5.0,10.0,7.9,1,31,,,,,
Men's soccer Goalkeeper per roster,"All divisions, 2025-26",900,4.0,3.0,4.0,3.6,1,10,,,,,
Men's soccer Defender per roster,"All divisions, 2025-26",900,10.0,8.0,12.0,10.1,2,28,,,,,
Men's soccer Midfielder per roster,"All divisions, 2025-26",900,11.0,9.0,13.0,11.3,3,29,,,,,
Men's soccer Forward per roster,"All divisions, 2025-26",900,7.0,5.0,9.0,7.3,1,31,,,,,
Women's soccer Goalkeeper per roster,"D1, 2025-26",339,3,3.0,3.0,3.1,1,5,,,,,
Women's soccer Defender per roster,"D1, 2025-26",339,8,7.0,10.0,8.4,3,14,,,,,
Women's soccer Midfielder per roster,"D1, 2025-26",339,9,7.0,10.0,8.7,1,22,,,,,
Women's soccer Forward per roster,"D1, 2025-26",339,7,6.0,9.0,7.4,1,15,,,,,
Women's soccer Goalkeeper per roster,"D2, 2025-26",246,3.0,3.0,4.0,3.2,1,6,,,,,
Women's soccer Defender per roster,"D2, 2025-26",246,9.0,8.0,11.0,9.2,3,18,,,,,
Women's soccer Midfielder per roster,"D2, 2025-26",246,10.0,8.0,12.0,10.0,2,27,,,,,
Women's soccer Forward per roster,"D2, 2025-26",246,7.0,6.0,9.0,7.3,1,15,,,,,
Women's soccer Goalkeeper per roster,"D3, 2025-26",386,3.0,2.0,4.0,2.9,1,7,,,,,
Women's soccer Defender per roster,"D3, 2025-26",386,9.0,7.0,10.0,8.7,3,17,,,,,
Women's soccer Midfielder per roster,"D3, 2025-26",386,9.0,7.0,11.0,9.4,2,24,,,,,
Women's soccer Forward per roster,"D3, 2025-26",386,7.0,5.0,8.0,6.5,1,14,,,,,
Women's soccer Goalkeeper per roster,"NAIA, 2025-26",152,3.0,2.0,3.0,2.8,1,5,,,,,
Women's soccer Defender per roster,"NAIA, 2025-26",152,8.0,6.0,10.0,8.4,1,19,,,,,
Women's soccer Midfielder per roster,"NAIA, 2025-26",152,9.0,7.0,12.0,9.3,2,20,,,,,
Women's soccer Forward per roster,"NAIA, 2025-26",152,6.0,4.0,8.0,6.1,0,17,,,,,
Women's soccer Goalkeeper per roster,"All divisions, 2025-26",1124,3.0,2.0,4.0,3.0,1,7,,,,,
Women's soccer Defender per roster,"All divisions, 2025-26",1124,9.0,7.0,10.0,8.7,1,19,,,,,
Women's soccer Midfielder per roster,"All divisions, 2025-26",1124,9.0,7.0,11.0,9.3,1,27,,,,,
Women's soccer Forward per roster,"All divisions, 2025-26",1124,7.0,5.0,8.25,6.9,0,17,,,,,
Women's volleyball Outside Hitter per roster,"All divisions, 2025-26",1300,5.0,4.0,6.0,5.0,0,12,,,,,
Women's volleyball Middle Blocker per roster,"All divisions, 2025-26",1300,4.0,3.0,5.0,3.9,0,10,,,,,
Women's volleyball Setter per roster,"All divisions, 2025-26",1300,3.0,2.0,3.0,2.9,0,7,,,,,
Women's volleyball Libero per roster,"All divisions, 2025-26",1300,1.0,0.0,3.0,1.4,0,12,,,,,
Women's volleyball Opposite / Right Side per roster,"All divisions, 2025-26",1300,2.0,1.0,2.0,1.6,0,6,,,,,
Women's volleyball Defensive Specialist per roster,"All divisions, 2025-26",1300,2.0,1.0,4.0,2.5,0,12,,,,,
Men's volleyball Outside Hitter per roster,"All divisions, 2025-26",211,6,4.5,7.0,6.0,2,13,,,,,
Men's volleyball Middle Blocker per roster,"All divisions, 2025-26",211,4,3.0,5.0,4.2,1,8,,,,,
Men's volleyball Setter per roster,"All divisions, 2025-26",211,3,2.0,3.0,2.8,1,6,,,,,
Men's volleyball Libero per roster,"All divisions, 2025-26",211,2,1.0,3.0,2.1,0,7,,,,,
Men's volleyball Opposite / Right Side per roster,"All divisions, 2025-26",211,2,1.0,3.0,2.2,0,6,,,,,
Men's volleyball Defensive Specialist per roster,"All divisions, 2025-26",211,0,0.0,1.0,0.8,0,6,,,,,
Men's lacrosse roster size,"D1, 2025-26",77,49,47.0,53.0,49.7,34,63,,,,,
Men's lacrosse roster size,"D2, 2025-26",81,44,32.0,52.0,42.8,18,72,,,,,
Men's lacrosse roster size,"D3, 2025-26",231,38,28.0,47.0,37.6,12,70,,,,,
Men's lacrosse roster size,"NAIA, 2025-26",28,27.0,23.75,31.25,28.2,16,50,,,,,
Women's lacrosse roster size,"D1, 2025-26",133,34,31.0,37.0,34.0,20,46,,,,,
Women's lacrosse roster size,"D2, 2025-26",111,28,21.0,32.0,26.8,13,58,,,,,
Women's lacrosse roster size,"D3, 2025-26",274,22.0,18.0,27.0,22.5,12,40,,,,,
Women's lacrosse roster size,"NAIA, 2025-26",29,20,17.0,25.0,20.6,14,31,,,,,
